country,phone_number
USA,9705629412
USA,6880825012
UK,6816070708
USA,8155772543
USA,6493380440
UK,9530076450
UK,6649110698
USA,9685295557
FRANCE,9491293861
UK,7648767001
UK,8067894789
USA,9134315913
USA,8979402319
FRANCE,7625463780
UK,7997618142
UK,9904556115
USA,9841966699
UK,7526048679
FRANCE,8122847739
UK,7406949620
USA,7088474977
FRANCE,8010253286
USA,9035329644
USA,8838409396
FRANCE,7646070013
UK,9823945319
FRANCE,9286294192
UK,6393182513
UK,8351251198
FRANCE,8257531818
FRANCE,8426025596
UK,9838627411
USA,7158303492
FRANCE,7080006425
UK,7903632646
FRANCE,8012833356
UK,9780952623
USA,8278527027
UK,6515531403
USA,8897358186
USA,7268258243
UK,7673523601
USA,9917602683
USA,7599036706
FRANCE,8266756829
FRANCE,6715346212
FRANCE,6982858337
FRANCE,6142195013
UK,9871365715
UK,6512691593
UK,7516528714
UK,7887395162
UK,8430454522
UK,8152193949
USA,8089138209
UK,6836909804
UK,6587104776
FRANCE,7546330432
FRANCE,6180920029
USA,9925457397
UK,6548259992
FRANCE,8542256751
FRANCE,6668295270
UK,6456498499
FRANCE,8941967877
UK,7495457194
UK,8350275702
FRANCE,7285465458
FRANCE,7548285141
FRANCE,6587890658
USA,7128241977
UK,7376294247
USA,7139172984
UK,8093902942
FRANCE,7379506050
UK,8334448698
USA,6081729083
UK,6720143152
FRANCE,9169929946
FRANCE,9156273739
USA,7002034828
USA,8956653222
USA,7425247578
USA,7846943596
UK,7615622107
UK,6638043134
USA,8935789452
UK,8254305849
USA,6782396678
FRANCE,9587362483
USA,8158644350
USA,7868792682
UK,7851229217
USA,6812983289
UK,9464493910
UK,7519732064
USA,9412671246
FRANCE,8433621099
FRANCE,8736999179
FRANCE,7622517899
USA,7916881283
USA,9311819752
FRANCE,7182917438
FRANCE,7201387068
UK,6845811520
USA,8984655998
FRANCE,8068800234
FRANCE,8913416488
UK,7505290520
UK,9031603016
USA,6447140100
UK,8216633055
FRANCE,8462196583
USA,7248261060
USA,8675401943
USA,8222260629
UK,9691375095
USA,6265578635
USA,6775271887
UK,7054397060
UK,8093756580
USA,8759406595
USA,9139665513
FRANCE,7337315266
UK,7452217095
USA,7270065805
USA,9254399272
UK,9661814994
USA,8931340300
UK,7589495649
FRANCE,8942909747
UK,9663526641
UK,7465253403
UK,9757773041
UK,8586243832
USA,6902627518
UK,6239263350
UK,8867517840
USA,9678731266
FRANCE,8306595599
USA,7170987638
UK,6769755994
USA,8156509743
UK,8013143442
UK,6069930733
UK,6227036007
FRANCE,9892775212
UK,9436779410
USA,9968472834
FRANCE,6099786439
FRANCE,6497789756
USA,9455860117
USA,7963581659
FRANCE,6654517881
USA,6854973807
USA,9748891216
USA,9505363172
FRANCE,9507176312
USA,6405325177
USA,8648252729
FRANCE,8201994656
FRANCE,6695626023
FRANCE,6034731252
USA,6419585856
UK,7892935468
UK,7487531376
UK,6661071911
UK,6303705426
FRANCE,7481471069
UK,8433433596
FRANCE,8509712344
UK,9188182813
UK,7243005897
UK,9037848656
UK,6313100442
FRANCE,9764827357
FRANCE,9631756928
USA,6244000961
UK,7362185875
USA,6331416910
UK,6054464206
USA,9773846960
FRANCE,6923217996
UK,8700212154
UK,7000418852
USA,7998834571
USA,6711680389
FRANCE,9676381809
USA,8569357306
USA,6171756499
USA,7030945020
USA,7311385739
USA,8761438708
UK,6606966290
UK,6621284516
USA,9968582157
UK,8326766722
USA,8619874405
UK,6617719655
UK,9209074116
UK,7016673826
UK,7302997310
FRANCE,6539512294
UK,6910425847
USA,8079067281
FRANCE,7036499897
USA,9738152471
USA,8700653036
USA,9698198924
UK,6037920058
USA,9868322329
USA,7850586751
FRANCE,7842126755
USA,9774506091
FRANCE,8181798189
UK,8123268312
FRANCE,8459201929
USA,9028932871
FRANCE,6704695952
FRANCE,9523036949
UK,8338830426
UK,8270613694
UK,8804745198
USA,9212210859
USA,6950800033
USA,6386416527
USA,9693022689
FRANCE,7870644305
USA,6281858351
USA,9995512865
USA,9095313568
USA,7280190195
UK,7947364340
USA,8793927797
FRANCE,8585554244
UK,7654639318
USA,8644423240
USA,6984281380
UK,8511348620
FRANCE,7183330483
FRANCE,7237167831
USA,8401701762
USA,7450848118
UK,7141060602
USA,9811697624
USA,8084133978
USA,6096400306
FRANCE,6750089638
UK,7520458109
FRANCE,6224233371
UK,7979445499
UK,7594978821
UK,7563081868
USA,6650760222
FRANCE,8692058717
UK,8806102372
UK,9415658477
USA,9095164036
UK,8555196670
FRANCE,7237535786
UK,7029926566
FRANCE,8777639940
UK,7611443449
USA,9618442573
UK,9168896473
UK,6505883523
UK,9495178953
FRANCE,6652300226
UK,8716347008
FRANCE,6720771583
USA,6578784292
FRANCE,6231970637
UK,8305112442
FRANCE,6157140991
USA,7632164620
USA,7937375648
USA,7970860738
UK,9574462068
FRANCE,7272529580
FRANCE,9450642244
FRANCE,6437961528
UK,7481863782
UK,9965164495
UK,7376241297
FRANCE,7802613713
USA,8492672426
UK,8533546424
FRANCE,7925596745
USA,9656431169
USA,7221716973
USA,6920824362
UK,9544775875
UK,8088336457
UK,8189480900
USA,6775573098
FRANCE,9389823906
USA,6776821676
FRANCE,7232365910
USA,8088895752
UK,6650675639
FRANCE,9157610348
FRANCE,7305865365
USA,7412151257
FRANCE,6639193729
USA,7766011638
UK,6853046922
FRANCE,6197294133
UK,9716724464
FRANCE,9449895038
FRANCE,7793350103
UK,6003488973
FRANCE,8946378156
FRANCE,9717875607
UK,6143204446
FRANCE,8661419311
UK,8972650033
USA,7631879128
USA,8482377944
USA,6705885707
FRANCE,6945162056
USA,9568414866
UK,7997124499
FRANCE,7657979880
UK,9682882885
USA,9825659585
FRANCE,8829446822
FRANCE,7989194784
USA,7679580136
USA,6683157167
UK,6151574263
USA,7723627511
USA,7503495936
FRANCE,9405685102
USA,7677475876
FRANCE,7904265397
USA,6265281210
UK,9581428897
FRANCE,7941828056
FRANCE,9203740982
UK,8837065785
UK,7424760351
FRANCE,8971990773
USA,8543219767
UK,8616660285
UK,6232273059
USA,7093385562
UK,6474077116
USA,8849285702
UK,8858285134
USA,6189702579
UK,9719341673
UK,8898767860
USA,7929889128
USA,9077824397
USA,6355762510
UK,7725591560
UK,7412935892
FRANCE,9734667097
USA,8424385419
UK,7256879861
UK,8955895883
FRANCE,6333372450
USA,7086541283
FRANCE,8204323736
UK,7466467987
UK,7698912796
USA,8697928144
UK,8912539931
UK,6334970411
USA,7593915845
FRANCE,9971285044
UK,8583204657
UK,7300937288
USA,8588583438
FRANCE,6692694099
USA,7110048105
FRANCE,6624005840
USA,7982918446
UK,7711708564
FRANCE,9527105542
USA,7786590567
UK,9150792290
UK,6856188502
USA,6494793833
UK,9775741480
FRANCE,7947694699
UK,6975662376
UK,7397006555
USA,7213579874
FRANCE,7661621349
USA,9320170692
FRANCE,9927625895
FRANCE,6930423135
USA,6132030681
FRANCE,6365790743
UK,7726672919
USA,8084035049
UK,8560016666
FRANCE,7089351410
UK,8634924366
UK,6876125556
FRANCE,9587427718
USA,6306594698
UK,6610952613
USA,8270913342
USA,8577101669
USA,9550622861
USA,9725001765
FRANCE,6377914912
USA,7150978114
FRANCE,7186484867
UK,6396719469
UK,6463967910
USA,9586181687
FRANCE,9254558138
UK,8241703708
FRANCE,8902759885
UK,6545264383
UK,9425392027
FRANCE,9630764123
FRANCE,6404566422
FRANCE,7732216067
UK,7574022181
FRANCE,8175635458
USA,8606626850
FRANCE,9988245082
UK,9642328075
USA,9195549857
USA,6730984824
FRANCE,6029521335
FRANCE,8752802616
USA,9055415889
UK,9432647085
UK,8816682362
UK,8180198964
USA,7596703317
UK,9943368815
USA,9011307437
UK,8726811579
UK,7336308675
FRANCE,8143011111
UK,8133015801
USA,7503996056
UK,7906012307
UK,8646531590
USA,8340379871
USA,9732900771
FRANCE,9240622550
USA,6291439084
UK,8882739255
UK,7154863635
UK,7911242745
FRANCE,8570290544
USA,8446911725
USA,8638713680
UK,9994148844
UK,7422476008
FRANCE,9435495661
FRANCE,6964750429
USA,6386557306
UK,9319472239
USA,7342132057
USA,8096726554
USA,6279964474
UK,8483488814
USA,8229336162
FRANCE,9164067190
FRANCE,8359021035
FRANCE,7991948915
FRANCE,7414608682
FRANCE,8249589641
FRANCE,8079660474
FRANCE,9052891991
USA,8239900200
USA,6257772384
UK,9318785673
FRANCE,9678662011
USA,6042915112
FRANCE,7197088138
UK,9998718310
UK,9061204313
FRANCE,7525901613
FRANCE,8813881586
UK,7839125069
FRANCE,6187663459
USA,9678671866
USA,7889100646
UK,7117225571
USA,7902484860
USA,8452912092
UK,8798323007
USA,7665368169
FRANCE,7535830881
USA,9816470806
USA,9748541372
USA,7216182275
USA,7791945227
USA,7848021104
UK,9793973545
USA,6355530293
FRANCE,7786144935
USA,8733554266
USA,7435829297
UK,9831702932
FRANCE,9071547940
USA,7119607150
FRANCE,8347548553
USA,7011845163
UK,7028289663
FRANCE,7486701297
FRANCE,6716544463
FRANCE,8920093055
USA,6389913784
FRANCE,9024924245
USA,7566314083
USA,8880912032
FRANCE,7548851467
FRANCE,8134537065
USA,8030475040
FRANCE,8749829946
FRANCE,9083676325
USA,8364486735
USA,7517635515
UK,7899439331
USA,7183729176
FRANCE,8673942566
USA,6324685539
FRANCE,8314333202
USA,9462947610
FRANCE,8812428302
USA,6685839340
FRANCE,6297253207
FRANCE,6170741278
UK,8497769641
UK,8662933399
UK,7334113867
FRANCE,6717235560
USA,6860684765
UK,7486471943
USA,6017058888
USA,8817728199
UK,8403579270
USA,6802744833
UK,6030498032
USA,8246366286
